Date,Words,Total Words,Project
2014-06-14,285,67717,Anne
2014-06-15,107,67824,Anne
2014-06-16,549,68373,Anne
2014-06-17,249,68622,Anne
2014-06-18,1329,69951,Anne
2014-06-19,726,70677,Anne
2014-06-20,421,71098,Anne
2014-06-21,421,71519,Anne
2014-06-22,441,71960,Anne
2014-06-23,422,72382,Anne
2014-06-24,656,73038,Anne
2014-06-25,1052,74090,Anne
2014-06-26,462,74552,Anne
2014-06-27,710,75262,Anne
2014-06-28,862,76124,Anne
2014-06-29,475,76599,Anne
2014-06-30,445,77044,Anne
2014-07-01,406,77450,Anne
2014-07-02,432,77882,Anne
2014-07-03,536,78418,Anne
2014-07-04,496,78914,Anne
2014-07-05,440,79354,Anne
2014-07-06,536,79890,Anne
2014-07-07,658,80548,Anne
2014-07-08,680,81228,Anne
2014-07-09,402,81630,Anne
2014-07-10,483,82113,Anne
2014-07-11,416,82529,Anne
2014-07-12,438,82967,Anne
2014-07-13,403,83370,Anne
2014-07-14,874,84244,Anne
2014-07-15,522,84766,Anne
2014-07-16,444,85210,Anne
2014-07-17,717,85927,Anne
2013-10-22,236,9451,Sigrid
2013-10-21,436,9215,Sigrid
2013-10-20,113,,Sigrid
2013-10-19,266,18050,Sigrid
2013-09-23,146,38026,Muirenn
2013-09-20,59,37880,Muirenn
2013-09-19,52,37821,Muirenn
2013-09-18,2,37769,Muirenn
2013-09-17,568,37767,Muirenn
2013-09-11,127,37199,Muirenn
2013-09-10,688,37072,Muirenn
2013-09-09,193,36384,Muirenn
2013-09-06,351,36191,Muirenn
2013-09-05,281,35840,Muirenn
2013-09-04,444,35559,Muirenn
2013-09-03,7,35115,Muirenn
2013-09-02,87,35108,Muirenn
2013-09-01,25,35195,Muirenn
2013-08-31,36,35220,Muirenn
2013-08-30,371,35184,Muirenn
2013-08-29,428,34811,Muirenn
2013-08-28,80,34383,Muirenn
2013-08-27,820,34303,Muirenn
2013-08-26,11,33427,Muirenn
